ROK,EPC_KOD,EPC_SKUPINA,VS_ID_CREPC,VS_KOD,FAKULTA_CREPC,KATEDRA_CREPC,VS_NAZOV,FAKULTA_NAZOV,OBLAST_VYSKUMU_KOD,OBLAST_VYSKUMU_KOD2,OBLAST_VYSKUMU_KOD3,OBLAST_VYSKUMU_KOD4,OBLAST_VYSKUMU_KOD5,PODIEL,AUTORI_VSETCI,AUTORI_VS,ISBN,ISSN,ISSN2,ISSN3,ISMN,DOI,PRACOVISKO_UVEDENE,VYDAVATEL,ZDROJOVY_DOKUMENT,JAZYK,ROZSAH,ID v CREPC,CCC,SCOPUS,WOS CC,IF,SJR,SNIP,CiteScore,JCR,JCR DISCIPLINA,SCIMAGO,SCIMAGO DISCIPLINA,upraveny kod vs,verejna skola,pocetnost,skupina_07711,skupina 077 12,WOS kvartil,WoS bonus,mnozina,zaklad 07711,zaklad 07712,patenty,vaha_kvartil,PP_07712,PP_07711,techvahacelkova,,,,,,,,
2021,BAB,A2,24780,716000000,FFA,UKFFFAJZC,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,5,5,9788055818139,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,435139,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
2021,GII,O,24780,716000000,FFA,UKFFFAKMK,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,1,1,9788055817675,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,431830,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,O,O,NU,1,M6,0,0,0,1,0,0,1,,,,,,,,
2021,ACB,A2,24780,716000000,FFA,UKFFFASJL,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,10,NULL,NULL,NULL,NULL,52.00000,3,3,9788055818016,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,432869,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,3,A2,A2,NU,1,M5,1,0,0,1,0,0.333333333,0.333333333,,,,,,,,
2021,ACB,A2,24780,716000000,FFA,UKFFFAULK,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,10,NULL,NULL,NULL,NULL,16.00000,1,1,9788055818016,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,432869,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,3,A2,A2,NU,1,M5,1,0,0,1,0,0.333333333,0.333333333,,,,,,,,
2021,ACB,A2,24780,716000000,FSS,UKFFSSUSJ,Univerzita Konštantína Filozofa v Nitre,Fakulta stredoeurópskych štúdií,10,NULL,NULL,NULL,NULL,16.00000,1,1,9788055818016,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,432869,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,3,A2,A2,NU,1,M5,1,0,0,1,0,0.333333333,0.333333333,,,,,,,,
2020,AAB,A1,24780,716000000,FSV,UKFFSVKPV,Univerzita Konštantína Filozofa v Nitre,Fakulta sociálnych vied a zdravotníctva,180,60,NULL,NULL,NULL,45.46000,5,5,9788055815992,NULL,NULL,NULL,NULL,NULL,uvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,426881,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,2,A1,A1,NU,1,M3,1,1,0,1,0.5,0.5,0.5,,,,,,,,
2020,AAB,A1,24780,716000000,FSV,UKFFSVUAP,Univerzita Konštantína Filozofa v Nitre,Fakulta sociálnych vied a zdravotníctva,180,60,NULL,NULL,NULL,9.09000,1,1,9788055815992,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,426881,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,2,A1,A1,NU,1,M3,1,1,0,1,0.5,0.5,0.5,,,,,,,,
2021,ACB,A2,24780,716000000,PFA,UKFPFAKPE,Univerzita Konštantína Filozofa v Nitre,Pedagogická fakulta UKF,10,NULL,NULL,NULL,NULL,100.00000,1,1,9788055817729,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,425902,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M5,1,0,0,1,0,1,1,,,,,,,,
2021,AGI,O,24780,716000000,FFA,UKFFFAKAR,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,30,NULL,NULL,NULL,NULL,100.00000,1,1,NULL,NULL,NULL,NULL,NULL,NULL,uvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,420555,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,O,O,NU,1,M6,0,0,0,1,0,0,1,,,,,,,,
2021,FAI,A2,24780,716000000,FFA,UKFFFAKTR,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,33.00000,1,1,9783631838815,NULL,NULL,NULL,NULL,10.3726/b18335,neuvedené,Peter Lang,NULL,eng,,414847,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
2021,AAB,A1,24780,716000000,FFA,UKFFFAKSO,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,60,NULL,NULL,NULL,NULL,100.00000,1,1,9788055817392,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,416765,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A1,A1,NU,1,M5,1,1,0,1,1,1,1,,,,,,,,
2021,BCI,A2,24780,716000000,FFA,UKFFFAKTR,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,1,1,9788055817347,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,316625,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
2020,AGI,O,24780,716000000,FFA,UKFFFAKAR,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,30,NULL,NULL,NULL,NULL,100.00000,2,2,NULL,NULL,NULL,NULL,NULL,NULL,uvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,316725,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,O,O,NU,1,M6,0,0,0,1,0,0,1,,,,,,,,
2020,ACB,A2,24780,716000000,FSV,UKFFSVKSP,Univerzita Konštantína Filozofa v Nitre,Fakulta sociálnych vied a zdravotníctva,60,NULL,NULL,NULL,NULL,9.00000,1,1,9788056107850,NULL,NULL,NULL,NULL,NULL,neuvedené,VERBUM - vydavateľstvo KU,NULL,slo,,308095,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M5,1,0,0,1,0,1,1,,,,,,,,
2021,AAA,A1,24780,716000000,FFA,UKFFFAULK,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,1,1,9788074654732,NULL,NULL,NULL,NULL,NULL,neuvedené,Nakladatelství Pavel Mervart,NULL,slo,,309380,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A1,A1,NU,1,M6,1,1,0,1,1,1,1,,,,,,,,
2021,FAI,A2,24780,716000000,FPV,UKFFPVKIN,Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied a informatiky,130,NULL,NULL,NULL,NULL,50.00000,1,1,9788055817125,NULL,NULL,NULL,NULL,NULL,uvedené,Univerzita Konštantína Filozofa v Nitre; Univerzita Mateja Bela v Banskej Bystrici,NULL,slo,,310010,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M1,1,0,0,1,0,1,1,,,,,,,,
2021,BCI,A2,24780,716000000,FFA,UKFFFAKTR,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,2,2,9788055817163,NULL,NULL,NULL,NULL,NULL,uvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,310774,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
2020,DAI,O,24780,716000000,FFA,UKFFFAKHI,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,30,NULL,NULL,NULL,NULL,100.00000,1,1,9788055815374,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,244703,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,O,O,NU,1,M6,0,0,0,1,0,0,1,,,,,,,,
