Vysoká škola,Názov projektu,Identifikačné číslo projektu podľa zmluvy,Spôsob zverejnenia verejnej výzvy na podávanie súťažných návrhov,"Názov programu, v rámci ktorého získal projekt podporu","Názov inštitúcie, ktorá podporu poskytla",Rok začiatku riešenia projektu,Rok skončenia riešenia projektu,"Priezvisko, meno a tituly zodpovedného riešiteľa projektu","Názov pracoviska, na ktorom sa projekt riešil - riešitelia",Výška finančných prostriedkov v kategórii BV v období od 1.1. do 31.12.2021,Výška finančných prostriedkov v kategórii KV v období od 1.1. do 31.12.2021,Charakter grantov,A/N,Komentár CVTI SR
Univerzita Pavla Jozefa Šafárika v Košiciach,Duševné zdravie na pracovisku a posudzovanie zdravotnej spôsobilosti zamestnanca,APVV-16-0002,https://site.apvv.sk/Grant/Grant/Detail/84,APVV-16,APVV,2017,2021,"doc. JUDr. Dolobáč Marcel, PhD.",Univerzita Pavla Jozefa Šafárika v Košiciach,"21,290.00 €",0.00 €,Základný výskum,A,
,Identifikácia a validácia signálnych dráh asociovaných s cirkulujúcimi nádorovými bunkami pri karcinóme prsníka.,APVV-16-0010,https://site.apvv.sk/Grant/Grant/Detail/84,APVV-16,APVV,2017,2021,"doc. MUDr. Mego Michal, PhD.","Biomedicínske centrum SAV, v. v. i. - Ústav experimentálnej onkológie","7,501.00 €",0.00 €,Základný výskum,A,
,Identifikácia a validácia signálnych dráh asociovaných s cirkulujúcimi nádorovými bunkami pri karcinóme prsníka.,APVV-16-0010,https://site.apvv.sk/Grant/Grant/Detail/84,APVV-16,APVV,2017,2021,"doc. MUDr. Mego Michal, PhD.","Ústav molekulárnej biológie SAV, v. v. i.","2,024.00 €",0.00 €,Základný výskum,A,
Univerzita Komenského v Bratislave,Identifikácia a validácia signálnych dráh asociovaných s cirkulujúcimi nádorovými bunkami pri karcinóme prsníka.,APVV-16-0010,https://site.apvv.sk/Grant/Grant/Detail/84,APVV-16,APVV,2017,2021,"doc. MUDr. Mego Michal, PhD.","Univerzita Komenského v Bratislave - Lekárska fakulta , Prírodovedecká fakulta ","1,200.00 €",0.00 €,Základný výskum,A,
Univerzita Komenského v Bratislave,Špecifické laboratórne monitorovanie reaktivity trombocytov u pacientov s akútnym infarktom myokardu liečených novými antagonistami P2Y12 receptora ,APVV-16-0020,https://site.apvv.sk/Grant/Grant/Detail/84,APVV-16,APVV,2017,2021,"prof. MUDr. Staško Ján, PhD.",Univerzita Komenského v Bratislave - Jesseniova lekárska fakulta v Martine,"14,400.00 €",0.00 €,Aplikovaný výskum,A,
Univerzita Komenského v Bratislave,"Úloha mikroRNA v karcinóme prsníka: biologický význam, cielené molekuly a signálne dráhy",APVV-16-0021,https://site.apvv.sk/Grant/Grant/Detail/84,APVV-16,APVV,2017,2021,"doc. RNDr. Danková Zuzana, PhD.",Univerzita Komenského v Bratislave - Jesseniova lekárska fakulta v Martine,"25,356.00 €",0.00 €,Základný výskum,A,
,Metagenomický prístup identifikácie a charakterizácie vírusových ochorení pri vybratých druhoch liečivých rastlín,APVV-16-0026,https://site.apvv.sk/Grant/Grant/Detail/84,APVV-16,APVV,2017,2021,"Mgr. Mihálik Daniel, PhD.","Biomedicínske centrum SAV, v. v. i. - Virologický ústav","15,498.00 €",0.00 €,Základný výskum,A,
Žilinská univerzita v Žiline,Metagenomický prístup identifikácie a charakterizácie vírusových ochorení pri vybratých druhoch liečivých rastlín,APVV-16-0026,https://site.apvv.sk/Grant/Grant/Detail/84,APVV-16,APVV,2017,2021,"Mgr. Mihálik Daniel, PhD.",Žilinská univerzita v Žiline - Výskumný ústav vysokohorskej biológie v Tatranskej Javorine,"13,778.00 €",0.00 €,Základný výskum,A,
Univerzita Komenského v Bratislave,"Úloha vnútrobunkových organel a ich interakcií v procese syntézy, modifikácii a degradácii bielkovín vo vzťahu k ischémiou indukovanej oneskorenej smrti neurónov.",APVV-16-0033,https://site.apvv.sk/Grant/Grant/Detail/84,APVV-16,APVV,2017,2021,"prof. RNDr. Račay Peter, PhD.",Univerzita Komenského v Bratislave - Jesseniova lekárska fakulta v Martine,"30,768.00 €",0.00 €,Základný výskum,A,
Univerzita Pavla Jozefa Šafárika v Košiciach,Výskum mimojazykových faktorov tvorenia a interpretácie nových pomenovaní,APVV-16-0035,https://site.apvv.sk/Grant/Grant/Detail/84,APVV-16,APVV,2017,2021,"prof. PhDr. Stekauer Pavel, DrSc.",Univerzita Pavla Jozefa Šafárika v Košiciach - Filozofická fakulta ,"21,430.00 €",0.00 €,Základný výskum,A,
